Date,Pattern,Option
2021-10-01,nor,0
2021-10-02,0,0
2021-10-03,0,0
2021-10-04,nor,0
2021-10-05,nor,0
2021-10-06,nor,0
2021-10-07,nor,0
2021-10-08,nor,0
2021-10-09,0,0
2021-10-10,0,0
2021-10-11,squ,0
2021-10-12,nor,0
2021-10-13,nor,0
2021-10-14,nor,0
2021-10-15,nor,0
2021-10-16,0,0
2021-10-17,0,0
2021-10-18,nor,0
2021-10-19,nor,0
2021-10-20,nor,0
2021-10-21,nor,0
2021-10-22,nor,0
2021-10-23,0,0
2021-10-24,0,0
2021-10-25,nor,0
2021-10-26,nor,0
2021-10-27,nor,0
2021-10-28,nor,0
2021-10-29,nor,0
2021-10-30,0,0
2021-10-31,0,0
2021-11-01,nor,0
2021-11-02,nor,0
2021-11-03,nor,NO_SANGANE
2021-11-04,nor,0
2021-11-05,nor,0
2021-11-06,0,0
2021-11-07,0,0
2021-11-08,nor,0
2021-11-09,nor,0
2021-11-10,nor,0
2021-11-11,nor,0
2021-11-12,nor,0
2021-11-13,0,0
2021-11-14,0,0
2021-11-15,nor,0
2021-11-16,nor,0
2021-11-17,nor,0
2021-11-18,nor,0
2021-11-19,nor,0
2021-11-20,0,0
2021-11-21,0,0
2021-11-22,nor,0
2021-11-23,nor,NO_SANGANE
2021-11-24,nor,0
2021-11-25,nor,0
2021-11-26,nor,0
2021-11-27,0,0
2021-11-28,0,0
2021-11-29,nor,0
2021-11-30,nor,0
2021-12-01,nor,0
2021-12-02,nor,0
2021-12-03,nor,0
2021-12-04,0,0
2021-12-05,0,0
2021-12-06,nor,0
2021-12-07,nor,0
2021-12-08,nor,0
2021-12-09,nor,0
2021-12-10,nor,0
2021-12-11,ast,0
2021-12-12,0,0
2021-12-13,nor,0
2021-12-14,nor,0
2021-12-15,nor,0
2021-12-16,nor,0
2021-12-17,nor,0
2021-12-18,0,0
2021-12-19,0,0
2021-12-20,nor,0
2021-12-21,nor,0
2021-12-22,nor,0
2021-12-23,nor,0
2021-12-24,0,0
2021-12-25,0,0
2021-12-26,0,0
2021-12-27,0,0
2021-12-28,0,0
2021-12-29,0,0
2021-12-30,0,0
2021-12-31,0,0
2022-01-01,0,0
2022-01-02,0,0
2022-01-03,0,0
2022-01-04,0,0
2022-01-05,squ,0
2022-01-06,nor,0
2022-01-07,nor,0
2022-01-08,0,0
2022-01-09,0,0
2022-01-10,0,0
2022-01-11,nor,0
2022-01-12,nor,0
2022-01-13,a,0
2022-01-14,squ,0
2022-01-15,0,0
2022-01-16,0,0
2022-01-17,nor,0
2022-01-18,e,0
2022-01-19,b,0
2022-01-20,b,0
2022-01-21,e,0
2022-01-22,0,0
2022-01-23,0,0
2022-01-24,nor,0
2022-01-25,e,0
2022-01-26,e,0
2022-01-27,e,0
2022-01-28,e,0
2022-01-29,0,0
2022-01-30,0,0
2022-01-31,e,0
2022-02-01,e,0
2022-02-02,squ,0
2022-02-03,squ,0
2022-02-04,b,0
2022-02-05,0,0
2022-02-06,0,0
2022-02-07,squ,0
2022-02-08,squ,0
2022-02-09,b,0
2022-02-10,b,0
2022-02-11,0,0
2022-02-12,0,0
2022-02-13,0,0
2022-02-14,b,0
2022-02-15,b,0
2022-02-16,b,0
2022-02-17,b,0
2022-02-18,b,0
2022-02-19,0,0
2022-02-20,0,0
2022-02-21,b,0
2022-02-22,b,0
2022-02-23,0,0
2022-02-24,b,0
2022-02-25,b,0
2022-02-26,0,0
2022-02-27,0,0
2022-02-28,b,0
